Algorithm,TimeElapsedMs,NodesVisited,PathLength,GridSize,WallDensity,NumDeadEnds,BranchingFactor
Wilson's Algorithm (Extreme Maze),3992,0,0,30x30,0.5011,66,0.6642
DFS Algorithm,3998,0,0,30x30,0.4989,68,1.9956
DFS Algorithm,3279,211,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),4010,0,0,30x30,0.5011,66,0.6642
Wilson's Algorithm (Extreme Maze),4015,0,0,30x30,0.4989,68,1.9956
A* Algorithm,5792,371,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),4003,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5318,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),3997,0,0,30x30,0.4989,68,1.9956
Dijkstra's Algorithm,6727,431,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),4005,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5305,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4032,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5314,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.5011,66,0.6642
DFS Algorithm,7018,450,0,30x30,0.5011,66,0.6642
Dijkstra's Algorithm,4005,0,0,30x30,0.4989,68,1.9956
Dijkstra's Algorithm,6735,431,90,30x30,0.4989,68,1.9956
Wilson's Algorithm (Extreme Maze),3991,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5313,341,122,30x30,0.4989,67,1.9956
Prims Algorithm (Medium Maze),3984,0,0,30x30,0.5011,77,1.9866
BFS Algorithm,10,1,0,30x30,0.5011,77,1.9866
BFS Algorithm,5,1,0,30x30,0.5011,77,1.9866
Prims Algorithm (Medium Maze),3999,0,0,30x30,0.4989,83,1.9956
DFS Algorithm,5220,335,58,30x30,0.4989,83,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.5011,66,0.6642
Wilson's Algorithm (Extreme Maze),4007,0,0,30x30,0.4989,68,1.9956
DFS Algorithm,3271,211,90,30x30,0.4989,68,1.9956
Kruskal's Algorithm (Hard Maze),3508,0,0,30x30,0.4989,67,1.9956
A* Algorithm,2052,131,66,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4016,0,0,30x30,0.4989,66,1.9956
Recursive Backtracker (Easy Maze),4006,0,0,30x30,0.4989,28,1.9956
Recursive Backtracker (Easy Maze),4001,0,0,30x30,0.5000,20,1.9911
Wilson's Algorithm (Extreme Maze),4006,0,0,30x30,0.4989,67,1.9956
BFS Algorithm,6999,449,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6973,447,122,30x30,0.4989,67,1.9956
Kruskal's Algorithm (Hard Maze),3502,0,0,30x30,0.4989,71,1.9956
Dijkstra's Algorithm,4701,301,74,30x30,0.4989,71,1.9956
Kruskal's Algorithm (Hard Maze),3494,0,0,30x30,0.4989,58,0.6662
Wilson's Algorithm (Extreme Maze),4016,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6989,447,122,30x30,0.4989,67,1.9956
Recursive Backtracker (Easy Maze),3995,0,0,30x30,0.4989,25,1.9956
DFS Algorithm,5495,353,166,30x30,0.4989,25,1.9956
Wilson's Algorithm (Extreme Maze),3998,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5304,341,122,30x30,0.4989,67,1.9956
Prims Algorithm (Medium Maze),4026,0,0,30x30,0.5011,77,1.9866
Dijkstra's Algorithm,11,1,0,30x30,0.5011,77,1.9866
Kruskal's Algorithm (Hard Maze),3511,0,0,30x30,0.4989,62,1.9956
Dijkstra's Algorithm,5087,326,62,30x30,0.4989,62,1.9956
Recursive Backtracker (Easy Maze),3997,0,0,30x30,0.4989,25,1.9956
Prims Algorithm (Medium Maze),4018,0,0,30x30,0.4989,70,1.9956
Wilson's Algorithm (Extreme Maze),4016,0,0,30x30,0.4989,67,1.9956
DFS Algorithm,5305,341,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4008,0,0,30x30,0.4989,68,1.9956
Kruskal's Algorithm (Hard Maze),3498,0,0,30x30,0.4989,69,1.9956
Wilson's Algorithm (Extreme Maze),4010,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6984,447,122,30x30,0.4989,67,1.9956
DFS Algorithm,1673,108,107,30x30,0.0022,0,1.9277
Prims Algorithm (Medium Maze),3976,0,0,30x30,0.3633,51,1.0889
Prims Algorithm (Medium Maze),3989,0,0,30x30,0.4989,78,1.9956
Prims Algorithm (Medium Maze),3980,0,0,30x30,0.5011,76,1.9866
Prims Algorithm (Medium Maze),3993,0,0,30x30,0.4989,82,1.9956
Prims Algorithm (Medium Maze),3980,0,0,30x30,0.5011,82,1.9866
Prims Algorithm (Medium Maze),3998,0,0,30x30,0.4989,85,1.9956
Prims Algorithm (Medium Maze),3984,0,0,30x30,0.5011,78,1.9866
Prims Algorithm (Medium Maze),3983,0,0,30x30,0.5011,77,1.9866
Prims Algorithm (Medium Maze),3992,0,0,30x30,0.4989,80,1.9956
Wilson's Algorithm (Extreme Maze),3996,0,0,30x30,0.4989,66,1.9956
Prims Algorithm (Medium Maze),3996,0,0,30x30,0.4989,70,0.6662
DFS Algorithm,2120,137,62,30x30,0.4989,70,0.6662
Recursive Backtracker (Easy Maze),3997,0,0,30x30,0.4989,25,1.9956
Wilson's Algorithm (Extreme Maze),3999,0,0,30x30,0.4989,67,1.9956
Dijkstra's Algorithm,6987,447,122,30x30,0.4989,67,1.9956
Wilson's Algorithm (Extreme Maze),4000,0,0,30x30,0.4989,67,1.9956
BFS Algorithm,6989,449,122,30x30,0.4989,67,1.9956
Kruskal's Algorithm (Hard Maze),3508,0,0,30x30,0.4989,68,1.9956
DFS Algorithm,5500,353,102,30x30,0.4989,68,1.9956
